27-August,35,63.0,93.0,76,72.0,73.0,63.0
28-August,60,89.0,66.0,72,65.0,67.0,105.0
29-August,94,87.0,80.0,45,58.0,96.0,100.0
30-August,97,119.0,104.0,61,95.0,107.0,100.0
31-August,105,109.0,99.0,111,99.0,98.0,94.0
01-September,130,86.0,57.0,122,102.0,94.0,100.0
02-September,109,87.0,80.0,140,109.0,84.0,67.0
03-September,66,77.0,119.0,98,87.0,63.0,64.0
04-September,67,125.0,119.0,81,73.0,56.0,105.0
05-September,103,119.0,141.0,57,78.0,126.0,118.0
06-September,114,108.0,124.0,60,100.0,126.0,106.0
07-September,108,119.0,118.0,128,97.0,109.0,125.0
08-September,128,98.0,90.0,135,109.0,125.0,117.0
09-September,104,118.0,97.0,109,109.0,103.0,70.0
10-September,108,85.0,140.0,111,111.0,93.0,90.0
11-September,76,131.0,123.0,114,84.0,77.0,129.0
12-September,127,144.0,123.0,94,85.0,120.0,115.0
13-September,118,133.0,148.0,78,113.0,92.0,118.0
14-September,119,146.0,102.0,117,101.0,137.0,111.0
15-September,109,135.0,69.0,128,99.0,131.0,95.0
16-September,144,93.0,81.0,97,101.0,120.0,93.0
17-September,84,88.0,128.0,94,111.0,72.0,101.0
18-September,106,145.0,144.0,80,96.0,68.0,101.0
19-September,121,122.0,121.0,74,78.0,129.0,105.0
20-September,150,145.0,152.0,85,126.0,124.0,102.0
21-September,142,138.0,142.0,111,132.0,117.0,114.0
22-September,139,115.0,136.0,105,115.0,112.0,114.0
23-September,124,146.0,97.0,107,134.0,116.0,84.0
24-September,87,136.0,123.0,110,91.0,80.0,94.0
25-September,112,146.0,130.0,101,96.0,77.0,115.0
26-September,146,141.0,147.0,80,95.0,127.0,117.0
27-September,109,130.0,120.0,57,129.0,182.0,121.0
28-September,135,134.0,107.0,147,121.0,136.0,132.0
29-September,137,138.0,74.0,112,127.0,120.0,101.0
30-September,132,118.0,103.0,104,131.0,112.0,99.0
01-October,86,134.0,158.0,116,129.0,96.0,92.0
02-October,130,141.0,127.0,89,109.0,90.0,138.0
03-October,151,139.0,176.0,99,105.0,147.0,146.0
04-October,151,129.0,143.0,75,133.0,156.0,118.0
05-October,145,154.0,163.0,114,128.0,142.0,136.0
06-October,141,166.0,119.0,94,136.0,111.0,150.0
07-October,134,120.0,111.0,90,131.0,117.0,83.0
08-October,89,100.0,150.0,127,124.0,72.0,116.0
09-October,89,158.0,118.0,82,97.0,103.0,140.0
10-October,152,140.0,112.0,65,87.0,149.0,122.0
11-October,157,130.0,115.0,104,160.0,144.0,135.0
12-October,126,131.0,103.0,110,152.0,134.0,147.0
13-October,128,127.0,88.0,128,125.0,144.0,110.0
14-October,135,98.0,83.0,92,148.0,98.0,67.0
15-October,95,87.0,126.0,138,116.0,93.0,104.0
16-October,79,171.0,146.0,111,103.0,88.0,148.0
17-October,148,120.0,161.0,70,102.0,107.0,144.0
18-October,133,133.0,111.0,72,110.0,130.0,112.0
19-October,111,159.0,79.0,123,110.0,120.0,72.0
20-October,139,172.0,101.0,81,127.0,137.0,129.0
21-October,123,113.0,123.0,109,124.0,136.0,121.0
22-October,132,128.0,162.0,96,125.0,101.0,139.0
23-October,120,143.0,139.0,100,114.0,95.0,102.0
24-October,139,135.0,146.0,104,123.0,123.0,99.0
25-October,155,162.0,127.0,80,148.0,117.0,126.0
26-October,118,147.0,119.0,129,133.0,136.0,106.0
27-October,155,143.0,108.0,96,148.0,155.0,136.0
28-October,130,113.0,127.0,87,150.0,119.0,97.0
29-October,97,131.0,141.0,134,88.0,91.0,104.0
30-October,113,140.0,119.0,69,79.0,105.0,168.0
31-October,85,140.0,90.0,107,94.0,103.0,154.0
01-November,101,94.0,117.0,74,123.0,96.0,128.0
02-November,128,135.0,107.0,94,137.0,121.0,87.0
03-November,156,146.0,94.0,97,131.0,121.0,105.0
04-November,127,116.0,102.0,105,132.0,118.0,85.0
05-November,99,111.0,118.0,118,142.0,114.0,105.0
06-November,113,145.0,121.0,114,113.0,145.0,141.0
